installation,plot_id,veg_id,over_100cm,date,notes,scientific_name,functional_group,Genus,Species,Status,functional_group__1,visit_year,species_name
shelby,shelby b2,LEBI,1,2017-09-24,NA,Lespedeza bicolor Turcz.,forb/shrub,Lespedeza,bicolor Turcz.,invasive,forb/shrub,2017,Lespedeza bicolor Turcz.
shelby,shelby b3,LEBI,7,2017-09-24,NA,Lespedeza bicolor Turcz.,forb/shrub,Lespedeza,bicolor Turcz.,invasive,forb/shrub,2017,Lespedeza bicolor Turcz.
shelby,shelby g1,LIST,8,2017-09-24,NA,Liquidambar styraciflua,tree,Liquidambar,styraciflua,native,tree,2017,Liquidambar styraciflua
shelby,shelby g1,MAGNO,14,2017-09-24,NA,Magnolia spp.,shrub/tree,Magnolia,spp.,native/introduced,shrub/tree,2017,Magnolia spp.
shelby,shelby b2,MAVI,31,2017-09-24,NA,Magnolia virginiana,tree,Magnolia,virginiana,native,tree,2017,Magnolia virginiana
shelby,shelby b3,MOCE,7,2017-09-24,NA,Morella cerifera,shrub,Morella,cerifera,native,shrub,2017,Morella cerifera
shelby,shelby g1,MOCE,5,2017-09-24,NA,Morella cerifera,shrub,Morella,cerifera,native,shrub,2017,Morella cerifera
shelby,shelby b3,PIPA,2,2017-09-24,NA,Pinus palustris,tree,Pinus,palustris,native,tree,2017,Pinus palustris
shelby,shelby g1,PIPA,2,2017-09-24,NA,Pinus palustris,tree,Pinus,palustris,native,tree,2017,Pinus palustris
shelby,shelby b2,QUIN,4,2017-09-24,NA,Quercus incana,tree,Quercus,incana,native,tree,2017,Quercus incana
shelby,shelby b3,QUIN,2,2017-09-24,NA,Quercus incana,tree,Quercus,incana,native,tree,2017,Quercus incana
shelby,shelby g1,QUIN,10,2017-09-24,NA,Quercus incana,tree,Quercus,incana,native,tree,2017,Quercus incana
shelby,shelby b2,QUNI,24,2017-09-24,NA,Quercus nigra,tree,Quercus,nigra,native,tree,2017,Quercus nigra
shelby,shelby b3,QUNI,4,2017-09-24,NA,Quercus nigra,tree,Quercus,nigra,native,tree,2017,Quercus nigra
shelby,shelby g1,QUNI,31,2017-09-24,NA,Quercus nigra,tree,Quercus,nigra,native,tree,2017,Quercus nigra
shelby,shelby b3,QUST,7,2017-09-24,NA,Quercus stellata,tree,Quercus,stellata,native,tree,2017,Quercus stellata
shelby,shelby b2,RHCO,5,2017-09-24,NA,Rhus copallinum,shrub,Rhus,copallinum,native,shrub,2017,Rhus copallinum
shelby,shelby g1,RHCO,10,2017-09-24,NA,Rhus copallinum,shrub,Rhus,copallinum,native,shrub,2017,Rhus copallinum
shelby,shelby g1,VACCI,8,2017-09-24,NA,Vaccinium spp.,shrub,Vaccinium,spp.,native,shrub,2017,Vaccinium spp.
blanding,blanding m1,ASIMI,2,2018-05-15,NA,Asimina spp.,shrub,Asimina,spp.,native/introduced,shrub,2018,Asimina spp.
blanding,blanding m1,DIVI,16,2018-05-15,NA,Diospyros virginiana,tree,Diospyros,virginiana,native,tree,2018,Diospyros virginiana
blanding,blanding m1,PIPA,1,2018-05-15,NA,Pinus palustris,tree,Pinus,palustris,native,tree,2018,Pinus palustris
blanding,blanding i1,QUIN,2,2018-05-15,NA,Quercus incana,tree,Quercus,incana,native,tree,2018,Quercus incana
blanding,blanding m1,QUNI,2,2018-05-15,NA,Quercus nigra,tree,Quercus,nigra,native,tree,2018,Quercus nigra
blanding,blanding i1,SERE,1,2018-05-15,NA,Serenoa repens,shrub/tree,Serenoa,repens,native,shrub/tree,2018,Serenoa repens
blanding,blanding c1,ASTR,2,2018-05-16,corrected arst wiregrass to ASTR pawpaw,Asimina triloba,tree,Asimina,triloba,native,tree,2018,Asimina triloba
blanding,blanding theater_cogon,NA,0,2018-05-16,placeholder zero for plot visit,NA,NA,NA,NA,NA,NA,2018,NA NA
blanding,blanding k1,QUNI,2,2018-05-22,NA,Quercus nigra,tree,Quercus,nigra,native,tree,2018,Quercus nigra
blanding,blanding n1,ASIMI,6,2018-05-24,NA,Asimina spp.,shrub,Asimina,spp.,native/introduced,shrub,2018,Asimina spp.
blanding,blanding n1,DIVI,1,2018-05-24,NA,Diospyros virginiana,tree,Diospyros,virginiana,native,tree,2018,Diospyros virginiana
blanding,blanding n1,QULA,1,2018-05-24,NA,Quercus laevis,tree,Quercus,laevis,native,tree,2018,Quercus laevis
blanding,blanding n1,QUNI,5,2018-05-24,NA,Quercus nigra,tree,Quercus,nigra,native,tree,2018,Quercus nigra
blanding,blanding n1,RHCO,1,2018-05-24,NA,Rhus copallinum,shrub,Rhus,copallinum,native,shrub,2018,Rhus copallinum
blanding,blanding i1,QUGE,1,2018-05-25,NA,Quercus geminata,tree,Quercus,geminata,native,tree,2018,Quercus geminata
