location,fire_id,max_temp,avg_max_temp,s_abv100,s_abv300,date,fabio_id,biomass,litter_biomass,pct_green,biomass_type,structure,rate_of_spread_50cm,f_litter_biomass,f_biomass,total_biomass,pct_consumed,est_pct_fuel_moisture,pct_fuel_moisture,max_flame_ht,avg_flame_ht,max_fuel_ht,avg_litter_depth,avg_green_ht,avg_brown_ht,avg_fuel_ht
50cm,25,128.93,123.746,8,0,2017-09-07,2,1500,0,75,cogongrass,standing,NA,0g litter,1500g,1500,41.24933333333333,60.69377936136895,43.521388716677,96,96,141,0,127,96.33333333333333,111.66666666666666
50cm,26,626.48,602.686,49,16,2017-09-07,2,2500,0,75,cogongrass,standing,NA,0g litter,2500g,2500,67.2876,52.09278438757168,41.93738924985233,133,111,141,0,134.33333333333334,110.33333333333333,122.33333333333334
50cm,27,362.14,311.38599999999997,17,3,2017-09-07,2,600,500,75,cogongrass,standing,NA,500g litter,600g,1100,83.59181818181818,41.16571555210815,36.64850136239782,39,35.5,118,8.333333333333334,111.66666666666667,95.66666666666667,103.66666666666667
50cm,28,801.56,638.476,46,13,2017-09-07,2,600,0,25,cogongrass,standing,NA,0g litter,600g,600,57.585,28.22900703367519,24.71395881006865,61,30.5,137,0,118.33333333333333,99.66666666666667,109
50cm,29,160.5,145.89,13,0,2017-09-07,2,1200,0,75,cogongrass,standing,NA,0g litter,1200g,1200,30.695833333333333,49.48836650033067,36.570862239841425,30,15,139,0,130.66666666666666,114.66666666666667,122.66666666666666
50cm,30,105.11,69.572,1,0,2017-09-07,2,800,0,25,cogongrass,standing,NA,0g litter,800g,800,48.0675,31.37726856977807,15.82381729200652,13,6.5,123,0,118,97.33333333333333,107.66666666666666
50cm,31,37.34,35.81,0,0,2017-09-07,2,400,0,75,cogongrass,standing,NA,0g litter,400g,400,28.450000000000003,39.563242487770786,37.65690376569038,-Inf,NaN,126,0,117.33333333333333,105.33333333333333,111.33333333333333
50cm,32,61.35,58.274,0,0,2017-09-07,2,400,0,25,cogongrass,standing,NA,0g litter,400g,400,19.769999999999996,19.60613236943787,13.010590015128598,-Inf,NaN,143,0,131.33333333333334,127.33333333333333,129.33333333333334
50cm,33,938.8,920.328,35,24,2017-09-07,2,800,500,25,cogongrass,standing,NA,500g litter,800g,1300,98.22923076923077,23.761946133796695,20.643729189789116,156,138,140,5.666666666666667,132.66666666666666,129.66666666666666,131.16666666666666
50cm,34,383.75,319.972,44,3,2017-09-07,2,800,500,75,cogongrass,standing,NA,500g litter,800g,1300,79.94307692307693,42.387052235943855,35.9106529209622,54,50.5,127,6,116.33333333333333,117,116.66666666666666
50cm,35,959.38,920.9,30,22,2017-09-07,2,1200,500,25,cogongrass,standing,NA,500g litter,1200g,1700,96.89529411764705,25.483137552103074,15.119363395225461,167,146.5,144,5.666666666666667,114.66666666666667,126.66666666666667,120.66666666666667
50cm,36,1014.48,956.65,41,25,2017-09-07,2,3000,0,25,cogongrass,standing,NA,0g litter,3000g,3000,97.73166666666667,36.51726671565025,20.17640573318633,275,275,137,0,120,121.66666666666667,120.83333333333334
50cm,37,143.32,141.438,184,0,2017-09-07,2,200,500,75,cogongrass,standing,NA,500g litter,200g,700,91.84285714285714,31.996497373029776,26.605504587155966,33,29,107,6,102.33333333333333,92,97.16666666666666
50cm,38,393.08,265.702,6,2,2017-09-08,2,1200,0,25,cogongrass,standing,NA,0g litter,1200g,1200,96.05166666666665,22.33009708737865,19.83240223463687,115,107.5,129,0,108.66666666666667,122.33333333333333,115.5
